Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
A2RUC4	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	Homo sapiens (Human)	315	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; iron ion binding [GO:0005506]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity [GO:0102524]	FUNCTION: tRNA hydroxylase that acts as a component of the wybutosine biosynthesis pathway. Wybutosine is a hyper modified guanosine with a tricyclic base found at the 3'-position adjacent to the anticodon of eukaryotic phenylalanine tRNA. Catalyzes the hydroxylation of 7-(a-amino-a-carboxypropyl)wyosine (yW-72) into undermodified hydroxywybutosine (OHyW*). OHyW* being further transformed into hydroxywybutosine (OHyW) by LCMT2/TYW4. OHyW is a derivative of wybutosine found in higher eukaryotes. {ECO:0000269|PubMed:20739293, ECO:0000269|PubMed:20972222}.	TYW5 C2orf60
A2RUH7	MBPHL_HUMAN	Myosin-binding protein H-like	Homo sapiens (Human)	354		FUNCTION: Myosin-binding protein which plays a role in cardiac function (PubMed:28778945). Seems to regulate conduction in the atria and ventricular conduction systems (PubMed:28778945). {ECO:0000269|PubMed:28778945}.	MYBPHL
A4D161	F221A_HUMAN	Protein FAM221A	Homo sapiens (Human)	298			FAM221A C7orf46
A4D1E9	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	Homo sapiens (Human)	387	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]	FUNCTION: May be involved in the ribosome maturation process. Complements an ObgE(CgtA) function in E.coli ribosome maturation. Plays a role of GTPase in vitro. When missing, disorganization of the nucleolar architecture is observed. {ECO:0000269|PubMed:17054726}.	GTPBP10 OBGH2 UG0751c10
A4D1T9	PRS37_HUMAN	Probable inactive serine protease 37 (Probable inactive trypsin-X2)	Homo sapiens (Human)	235	serine-type endopeptidase activity [GO:0004252]	FUNCTION: Plays a role in male fertility (By similarity). May have a role in sperm migration or binding to zona-intact eggs (By similarity). Involved in the activation of the proacrosin/acrosin system (PubMed:27649891). {ECO:0000250|UniProtKB:Q9DAA4, ECO:0000269|PubMed:27649891}.	PRSS37 TRYX2
A4D2B0	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	Homo sapiens (Human)	266	metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]	FUNCTION: Endoribonuclease that catalyzes the hydrolysis of histone-coding pre-mRNA 3'-end. Involved in histone pre-mRNA processing during the S-phase of the cell cycle, which is required for entering/progressing through S-phase (PubMed:30507380). Cleaves histone pre-mRNA at a major and a minor cleavage site after the 5'-ACCCA-3' and the 5'-ACCCACA-3' sequence, respectively, and located downstream of the stem-loop (PubMed:30507380). May require the presence of the HDE element located at the histone pre-RNA 3'-end to avoid non-specific cleavage (PubMed:30507380). {ECO:0000269|PubMed:30507380}.	MBLAC1
A4GXA9	EME2_HUMAN	Probable crossover junction endonuclease EME2 (EC 3.1.22.-)	Homo sapiens (Human)	379	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]	FUNCTION: Interacts with MUS81 to form a DNA structure-specific endonuclease which cleaves substrates such as 3'-flap structures. {ECO:0000269|PubMed:17289582}.	EME2
A5D8V6	VP37C_HUMAN	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	Homo sapiens (Human)	355	calcium-dependent protein binding [GO:0048306]	FUNCTION: Component of the ESCRT-I complex, a regulator of vesicular trafficking process. Required for the sorting of endocytic ubiquitinated cargos into multivesicular bodies. May be involved in cell growth and differentiation. {ECO:0000269|PubMed:15509564}.	VPS37C PML39
A5LHX3	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	Homo sapiens (Human)	300	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; threonine-type endopeptidase activity [GO:0004298]	FUNCTION: The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity. Incorporated instead of PSMB5 or PSMB8, this unit reduces the chymotrypsin-like activity of the proteasome (By similarity). Plays a pivotal role in development of CD8-positive T cells (By similarity). {ECO:0000250}.	PSMB11
A5PLL7	PDES1_HUMAN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	Homo sapiens (Human)	270	plasmanylethanolamine desaturase activity [GO:0050207]	FUNCTION: Plasmanylethanolamine desaturase involved in plasmalogen biogenesis in the endoplasmic reticulum membrane (PubMed:31604315, PubMed:32209662, PubMed:33859415). Plasmalogens are glycerophospholipids with a hydrocarbon chain linked by a vinyl ether bond at the glycerol sn-1 position, and are involved in antioxidative and signaling mechanisms (PubMed:31604315). {ECO:0000269|PubMed:31604315, ECO:0000269|PubMed:32209662, ECO:0000269|PubMed:33859415, ECO:0000303|PubMed:31604315}.	PEDS1 KUA PDES TMEM189
A6NCS4	NKX26_HUMAN	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	Homo sapiens (Human)	301	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	FUNCTION: Acts as a transcriptional activator (PubMed:15649947). In conjunction with NKX2-5, may play a role in both pharyngeal and cardiac embryonic development. {ECO:0000250|UniProtKB:P43688, ECO:0000269|PubMed:15649947}.	NKX2-6 NKX2F
A6ND01	JUNO_HUMAN	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)	Homo sapiens (Human)	250	protein binding involved in heterotypic cell-cell adhesion [GO:0086080]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]	FUNCTION: Receptor for IZUMO1 present at the cell surface of oocytes (oolemma), which is essential for species-specific gamete recognition and fertilization. The IZUMO1:IZUMO1R/JUNO interaction is a necessary adhesion event between sperm and egg that is required for fertilization but is not sufficient for cell fusion. The ligand-receptor interaction probably does not act as a membrane 'fusogen'. Does not bind folate. {ECO:0000250|UniProtKB:Q9EQF4}.	IZUMO1R FOLR4 JUNO
A6NDG6	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	Homo sapiens (Human)	321	ADP phosphatase activity [GO:0043262]; glycerol-1-phosphatase activity [GO:0000121]; glycerol-3-phosphatase activity [GO:0043136]; magnesium ion binding [GO:0000287]; phosphoglycolate phosphatase activity [GO:0008967]; protein tyrosine phosphatase activity [GO:0004725]	FUNCTION: Glycerol-3-phosphate phosphatase hydrolyzing glycerol-3-phosphate into glycerol. Thereby, regulates the cellular levels of glycerol-3-phosphate a metabolic intermediate of glucose, lipid and energy metabolism. Was also shown to have a 2-phosphoglycolate phosphatase activity and a tyrosine-protein phosphatase activity. However, their physiological relevance is unclear (PubMed:26755581). In vitro, has also a phosphatase activity toward ADP, ATP, GDP and GTP (By similarity). {ECO:0000250|UniProtKB:Q8CHP8, ECO:0000269|PubMed:26755581}.	PGP
A6NED2	RCCD1_HUMAN	RCC1 domain-containing protein 1	Homo sapiens (Human)	376		FUNCTION: Plays a role in transcriptional repression of satellite repeats, possibly by regulating H3K36 methylation levels in centromeric regions together with KDM8 (PubMed:24981860). Possibly together with KDM8, is involved in proper mitotic spindle organization and chromosome segregation (PubMed:24981860). Plays a role in regulating alpha-tubulin deacetylation and cytoskeletal microtubule stability, thereby promoting cell migration and TGF-beta-induced epithelial to mesenchymal transition (EMT), potentially through the inhibition of KDM8 (PubMed:28455245). {ECO:0000269|PubMed:24981860, ECO:0000269|PubMed:28455245}.	RCCD1
A6NHX0	CAST2_HUMAN	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	Homo sapiens (Human)	329	identical protein binding [GO:0042802]	FUNCTION: Functions as a negative regulator of the TORC1 signaling pathway through the GATOR complex. As part of homodimers or heterodimers with CASTOR1, directly binds and inhibits the GATOR subcomplex GATOR2 and thereby mTORC1. Does not directly bind arginine, but binding of arginine to CASTOR1 disrupts the interaction of CASTOR2-containing heterodimers with GATOR2 which can in turn activate mTORC1 and the TORC1 signaling pathway. {ECO:0000269|PubMed:26972053}.	CASTOR2 GATSL1 GATSL2
A6NI61	MYMK_HUMAN	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	Homo sapiens (Human)	221		FUNCTION: Myoblast-specific protein that mediates myoblast fusion, an essential step for the formation of multi-nucleated muscle fibers (PubMed:28681861). Actively participates in the membrane fusion reaction by mediating the mixing of cell membrane lipids (hemifusion) upstream of MYMX. Acts independently of MYMX (By similarity). Involved in skeletal muscle regeneration in response to injury by mediating the fusion of satellite cells, a population of muscle stem cells, with injured myofibers (By similarity). Also involved in skeletal muscle hypertrophy, probably by mediating the fusion of satellite cells with myofibers (By similarity). {ECO:0000250|UniProtKB:Q9D1N4, ECO:0000269|PubMed:28681861}.	MYMK TMEM226 TMEM8C
A6NI73	LIRA5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	Homo sapiens (Human)	299	inhibitory MHC class I receptor activity [GO:0032396]	FUNCTION: May play a role in triggering innate immune responses. Does not seem to play a role for any class I MHC antigen recognition. {ECO:0000269|PubMed:16675463}.	LILRA5 ILT11 LILRB7 LIR9
A6NIH7	U119B_HUMAN	Protein unc-119 homolog B	Homo sapiens (Human)	251	lipid binding [GO:0008289]	FUNCTION: Myristoyl-binding protein that acts as a cargo adapter: specifically binds the myristoyl moiety of a subset of N-terminally myristoylated proteins and is required for their localization. Binds myristoylated NPHP3 and plays a key role in localization of NPHP3 to the primary cilium membrane. Does not bind all myristoylated proteins. Probably plays a role in trafficking proteins in photoreceptor cells. {ECO:0000269|PubMed:22085962}.	UNC119B
A6NJ46	NKX63_HUMAN	Homeobox protein Nkx-6.3	Homo sapiens (Human)	265	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]	FUNCTION: Putative transcription factor, which may be involved in patterning of central nervous system and pancreas. {ECO:0000250}.	NKX6-3
A6NK58	LIPT2_HUMAN	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	Homo sapiens (Human)	231	ligase activity [GO:0016874]; lipoyl(octanoyl) transferase activity [GO:0033819]	FUNCTION: Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein (octanoyl-ACP) onto the lipoyl domains of lipoate-dependent enzymes such as the protein H of the glycine cleavage system (GCSH) (PubMed:28757203). Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity). {ECO:0000250|UniProtKB:Q9D009, ECO:0000269|PubMed:28757203}.	LIPT2
A8K4G0	CLM7_HUMAN	CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b)	Homo sapiens (Human)	201	identical protein binding [GO:0042802]	FUNCTION: Acts as an activating immune receptor through its interaction with ITAM-bearing adapter TYROBP, and also independently by recruitment of GRB2. {ECO:0000269|PubMed:16920917, ECO:0000269|PubMed:17928527}.	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029
A8K830	OCAT2_HUMAN	POU class 2 homeobox associating factor 3 (Cancer susceptibility candidate protein 13) (Colorectal cancer-associated protein 2) (Protein OCA-T2)	Homo sapiens (Human)	251	DNA binding [GO:0003677]; POU domain binding [GO:0070974]; transcription coactivator activity [GO:0003713]	FUNCTION: Transcriptional coactivator that specifically associates with POU2F3 (PubMed:35576971). This complex drives the development of tuft cells, a rare a rare chemosensory cells that coordinate immune and neural functions within mucosal epithelial tissues (PubMed:35576971). {ECO:0000269|PubMed:35576971}.	POU2AF3 C11orf93 CASC13 COLCA2
A8MTA8	CMI2B_HUMAN	Ciliary microtubule inner protein 2B	Homo sapiens (Human)	275		FUNCTION: Microtubule inner protein (MIP) part of the dynein-decorated doublet microtubules (DMTs) in cilia axoneme, which is required for motile cilia beating. {ECO:0000269|PubMed:36191189}.	CIMIP2B FAM166B
A8MTJ3	GNAT3_HUMAN	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	Homo sapiens (Human)	354	G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]	FUNCTION: Guanine nucleotide-binding protein (G protein) alpha subunit playing a prominent role in bitter and sweet taste transduction as well as in umami (monosodium glutamate, monopotassium glutamate, and inosine monophosphate) taste transduction. Transduction by this alpha subunit involves coupling of specific cell-surface receptors with a cGMP-phosphodiesterase; Activation of phosphodiesterase lowers intracellular levels of cAMP and cGMP which may open a cyclic nucleotide-suppressible cation channel leading to influx of calcium, ultimately leading to release of neurotransmitter. Indeed, denatonium and strychnine induce transient reduction in cAMP and cGMP in taste tissue, whereas this decrease is inhibited by GNAT3 antibody. Gustducin heterotrimer transduces response to bitter and sweet compounds via regulation of phosphodiesterase for alpha subunit, as well as via activation of phospholipase C for beta and gamma subunits, with ultimate increase inositol trisphosphate and increase of intracellular Calcium. GNAT3 can functionally couple to taste receptors to transmit intracellular signal: receptor heterodimer TAS1R2/TAS1R3 senses sweetness and TAS1R1/TAS1R3 transduces umami taste, whereas the T2R family GPCRs act as bitter sensors. Functions also as lumenal sugar sensors in the gut to control the expression of the Na+-glucose transporter SGLT1 in response to dietaty sugar, as well as the secretion of Glucagon-like peptide-1, GLP-1 and glucose-dependent insulinotropic polypeptide, GIP. Thus, may modulate the gut capacity to absorb sugars, with implications in malabsorption syndromes and diet-related disorders including diabetes and obesity. {ECO:0000269|PubMed:11917125, ECO:0000269|PubMed:17724330}.	GNAT3
A8MTQ0	NOTO_HUMAN	Homeobox protein notochord	Homo sapiens (Human)	251	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	FUNCTION: Transcription regulator acting downstream of both FOXA2 and Brachyury (T) during notochord development. Required for node morphogenesis. Is essential for cilia formation in the posterior notochord (PNC) and for left-right patterning; acts upstream of FOXJ1 and RFX3 in this process and is required for the expression of various components important for axonemal assembly and function. Plays a role in regulating axial versus paraxial cell fate. Activates the transcription of ciliary proteins C11orf97 homolog, FAM183B and SPACA9 in the embryonic ventral node (By similarity). {ECO:0000250|UniProtKB:Q5TIS6}.	NOTO
A8MUP2	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)	Homo sapiens (Human)	240	lysine N-methyltransferase activity [GO:0016278]; protein-lysine N-methyltransferase activity [GO:0016279]	FUNCTION: Protein-lysine methyltransferase that selectively trimethylates citrate synthase (CS) in mitochondria (PubMed:28391595, PubMed:28887308). Seems to conduct trimethylation in a highly distributive manner rather than in a processive manner, and thus introduces a single methyl group per binding event (PubMed:28887308). {ECO:0000269|PubMed:28391595, ECO:0000269|PubMed:28887308}.	CSKMT METTL12
A8MV65	VGLL3_HUMAN	Transcription cofactor vestigial-like protein 3 (Vgl-3)	Homo sapiens (Human)	326		FUNCTION: May act as a specific coactivator for the mammalian TEFs. {ECO:0000250|UniProtKB:Q8N8G2}.	VGLL3
A8MW99	MEI4_HUMAN	Meiosis-specific protein MEI4	Homo sapiens (Human)	385		FUNCTION: Required for DNA double-strand breaks (DSBs) formation in unsynapsed regions during meiotic recombination. Probably acts by forming a complex with IHO1 and REC114, which activates DSBs formation in unsynapsed regions, an essential step to ensure completion of synapsis. {ECO:0000250|UniProtKB:Q8BRM6}.	MEI4
A8MXD5	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1	Homo sapiens (Human)	290		FUNCTION: May play a role in actin filament architecture in developing stereocilia of sensory cells. {ECO:0000250}.	GRXCR1 DFNB25
A8MXV4	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	Homo sapiens (Human)	375	coenzyme A diphosphatase activity [GO:0010945]; magnesium ion binding [GO:0000287]	FUNCTION: Fatty acyl-coenzyme A (CoA) diphosphatase that hydrolyzes fatty acyl-CoA to yield acyl-4'-phosphopantetheine and adenosine 3',5'-bisphosphate (By similarity). Mediates the hydrolysis of a wide range of CoA esters, including choloyl-CoA and branched-chain fatty-acyl-CoA esters and at low substrate concentrations medium and long-chain fatty-acyl-CoA esters are the primary substrates (By similarity). Highest activity seen with medium-chain acyl-CoA esters and higher rates of activity seen with the unsaturated acyl-CoA esters compared with the saturated esters (By similarity). Exhibits decapping activity towards dpCoA-capped RNAs in vitro (By similarity). {ECO:0000250|UniProtKB:P11930}.	NUDT19
A9UHW6	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	Homo sapiens (Human)	222	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; translation activator activity [GO:0008494]	FUNCTION: Functions in replication-dependent translation of histone mRNAs which differ from other eukaryotic mRNAs in that they do not end with a poly-A tail but a stem-loop. May participate in circularizing those mRNAs specifically enhancing their translation. {ECO:0000269|PubMed:18025107}.	MIF4GD SLIP1
B0YJ81	HACD1_HUMAN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	Homo sapiens (Human)	288	3-hydroxyacyl-CoA dehydratase activity [GO:0018812]; enzyme binding [GO:0019899]; hydroxyapatite binding [GO:0046848]; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity [GO:0102158]	FUNCTION: [Isoform 1]: Catalyzes the third of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. {ECO:0000269|PubMed:18554506}.; FUNCTION: [Isoform 2]: In tooth development, may play a role in the recruitment and the differentiation of cells that contribute to cementum formation. May also bind hydroxyapatite and regulate its crystal nucleation to form cementum. {ECO:0000269|PubMed:22067203}.	HACD1 PTPLA
B2RUY7	VWC2L_HUMAN	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)	Homo sapiens (Human)	222		FUNCTION: May play a role in neurogenesis. May play a role in bone differentiation and matrix mineralization. {ECO:0000250}.	VWC2L
B6A8C7	TARM1_HUMAN	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	Homo sapiens (Human)	271	immunoglobulin receptor binding [GO:0034987]	FUNCTION: May act as receptor (By similarity). Negatively regulates TCR-mediated CD4(+) T cell proliferation and activation, possibly by binding an unknown ligand on the T cell surface (PubMed:26311901). Enhances Toll-like receptor-mediated production of pro-inflammatory cytokines by macrophages and neutrophils (By similarity). {ECO:0000250|UniProtKB:B6A8R8, ECO:0000269|PubMed:26311901}.	TARM1
C9JRZ8	AK1BF_HUMAN	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	Homo sapiens (Human)	316	aldose reductase (NADPH) activity [GO:0004032]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; allyl-alcohol dehydrogenase activity [GO:0047655]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]; farnesol dehydrogenase activity [GO:0047886]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]	FUNCTION: [Isoform 1]: Catalyzes the NADPH-dependent reduction of a variety of carbonyl substrates, like aromatic aldehydes, alkenals, ketones and alpha-dicarbonyl compounds (PubMed:21276782, PubMed:26222439). In addition, catalyzes the reduction of androgens and estrogens with high positional selectivity (shows 17-beta-hydroxysteroid dehydrogenase activity) as well as 3-keto-acyl-CoAs (PubMed:25577493). Displays strong enzymatic activity toward all-trans-retinal and 9-cis-retinal (PubMed:26222439). May play a physiological role in retinoid metabolism (PubMed:26222439). {ECO:0000269|PubMed:21276782, ECO:0000269|PubMed:25577493, ECO:0000269|PubMed:26222439}.; FUNCTION: [Isoform 2]: No oxidoreductase activity observed with the tested substrates. {ECO:0000269|PubMed:25577493}.	AKR1B15
